Battery,Car_name,Efficiency,Fast_charge,Price.DE.,Range,Top_speed,acceleration..0.100.,Range_per_kWh
77.0,286,179,640.0,56455.0,430,180,5.5,5.584415584415584
21.3,66,158,230.0,30990.0,135,135,9.0,6.338028169014084
46.3,190,157,470.0,34650.0,295,150,8.7,6.371490280777538
107.0,221,228,610.0,95200.0,470,210,4.7,4.392523364485982
46.3,44,226,330.0,37790.0,205,135,11.7,4.427645788336934
90.0,164,290,310.0,64248.0,310,160,12.0,3.4444444444444446
87.0,178,215,480.0,61990.0,405,200,5.7,4.655172413793103
90.0,166,205,460.0,74500.0,440,200,4.5,4.888888888888889
50.8,50,154,470.0,41540.0,330,150,10.0,6.496062992125984
50.8,59,169,480.0,40540.0,300,150,9.0,5.905511811023622
108.4,147,178,910.0,113359.0,610,210,5.6,5.627306273062731
46.0,121,174,320.0,35490.0,265,185,7.7,5.760869565217392
96.0,143,202,660.0,86811.0,475,210,6.9,4.947916666666667
89.0,137,176,640.0,74149.0,505,210,6.3,5.674157303370786
83.7,236,195,1060.0,197740.0,430,260,2.8,5.137395459976105
46.3,210,232,320.0,42440.0,200,135,11.7,4.319654427645789
90.0,168,209,450.0,94900.0,430,200,3.9,4.777777777777778
91.0,79,214,380.0,77300.0,425,200,3.7,4.670329670329671
64.0,303,178,540.0,45970.0,360,180,5.6,5.625
94.0,302,188,700.0,68970.0,500,200,3.8,5.319148936170213
90.0,172,186,500.0,68500.0,485,200,4.0,5.388888888888889
79.0,217,176,670.0,65275.0,450,205,4.2,5.69620253164557
66.5,133,193,500.0,55519.0,345,160,8.0,5.18796992481203
45.0,182,200,230.0,39990.0,225,132,12.6,5.0
59.3,184,174,240.0,44490.0,340,160,8.2,5.733558178752109
89.0,136,173,650.0,70995.0,515,210,6.4,5.786516853932584
89.0,12,200,690.0,76650.0,445,200,6.0,5.0
37.3,63,159,390.0,36990.0,235,150,9.0,6.3002680965147455
77.0,8,195,590.0,54950.0,395,180,6.6,5.12987012987013
70.5,171,178,530.0,59500.0,395,200,4.0,5.602836879432624
74.0,84,211,860.0,67300.0,350,235,4.2,4.72972972972973
66.5,134,193,500.0,58197.0,345,160,6.2,5.18796992481203
108.4,151,203,800.0,155009.0,535,250,3.4,4.935424354243542
70.5,173,183,520.0,59500.0,385,200,4.0,5.460992907801418
90.6,142,208,550.0,89548.0,435,210,6.6,4.801324503311259
77.0,6,186,620.0,61000.0,415,180,5.4,5.3896103896103895
77.0,252,177,650.0,61050.0,435,180,5.5,5.64935064935065
82.5,81,188,880.0,69200.0,440,225,4.9,5.333333333333333
58.0,42,168,460.0,40750.0,345,160,6.6,5.948275862068965
71.0,222,169,1030.0,93139.0,420,230,5.4,5.915492957746479
